smiles,logSolubility
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O,0.79
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
CNC(=O)Oc1ccccc1C2OCCO2,-1.57
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7,-3.931
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,-5.35
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O,-4.314
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001
CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.71
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,-4.9
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-4.099
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O,-4.743
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
c1cnc2c(c1)ccc3ncccc23,-2.68
C1CCC=CCC1,-3.18
O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2,-3.93
C1c2ccccc2c3ccc4ccccc4c13,-6.68
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
C1CCOC1,0.49
CC1CCCO1,0.11
OCC1OC(O)(CO)C(O)C1O,0.64
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92
O=C1c2ccccc2C(=O)c3ccccc13,-5.19
c3ccc2nc1ccccc1cc2c3,-3.67
Nc2cccc3nc1ccccc1cc23,-4.22
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),-5.43
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-4.19
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29
C1c2ccccc2c3cc4ccccc4cc13,-8.04
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
